timestamp,combined_mb,renderer_mb,gpu_mb,tag16_mb,graphics_mb
2026-05-11 15:47:13,6162,2794,3368,2169,2722
2026-05-11 15:47:13,6162,2794,3368,2169,2722
2026-05-11 15:47:14,6177,2794,3383,2169,2737
2026-05-11 15:47:14,6317,2811,3506,2181,2852
2026-05-11 15:47:15,6340,2831,3509,2195,2852
2026-05-11 15:47:15,6343,2833,3510,2197,2851
2026-05-11 15:47:16,6344,2838,3506,2203,2848
2026-05-11 15:47:16,6360,2854,3506,2213,2849
2026-05-11 15:47:17,6369,2861,3508,2220,2849
2026-05-11 15:47:17,6368,2859,3509,2229,2848
2026-05-11 15:47:18,6376,2868,3508,2234,2848
2026-05-11 15:47:18,6394,2887,3507,2246,2848
2026-05-11 15:47:19,6395,2890,3505,2248,2849
2026-05-11 15:47:19,6400,2892,3508,2249,2850
2026-05-11 15:47:20,6398,2892,3506,2249,2850
2026-05-11 15:47:21,6407,2899,3508,2255,2850
2026-05-11 15:47:21,6413,2905,3508,2264,2850
2026-05-11 15:47:22,6410,2905,3505,2270,2850
2026-05-11 15:47:22,6422,2917,3505,2281,2850
2026-05-11 15:47:23,6432,2928,3504,2291,2847
2026-05-11 15:47:23,6443,2938,3505,2301,2849
2026-05-11 15:47:24,6466,2961,3505,2312,2849
2026-05-11 15:47:24,6474,2972,3502,2322,2849
2026-05-11 15:47:25,6487,2983,3504,2332,2848
2026-05-11 15:47:25,6483,2978,3505,2342,2849
2026-05-11 15:47:26,6514,2992,3522,2352,2860
2026-05-11 15:47:26,6519,2996,3523,2352,2860
