timestamp,total_mb,webkit_malloc_mb,graphics_mb
2026-05-11 15:36:39,5295,2349,2881
2026-05-11 15:36:39,5295,2349,2881
2026-05-11 15:36:40,5295,2349,2881
2026-05-11 15:36:40,5296,2349,2882
2026-05-11 15:36:40,5305,2348,2892
2026-05-11 15:36:41,5354,2356,2933
2026-05-11 15:36:41,5489,2491,2932
2026-05-11 15:36:42,5639,2641,2933
2026-05-11 15:36:42,5831,2823,2942
2026-05-11 15:36:42,5871,2864,2943
2026-05-11 15:36:43,6046,3053,2943
2026-05-11 15:36:43,6173,3162,2944
2026-05-11 15:36:44,6227,3215,2945
2026-05-11 15:36:44,6371,3335,2945
2026-05-11 15:36:45,6505,3487,2961
2026-05-11 15:36:45,6631,3606,2962
2026-05-11 15:36:45,6763,3738,2962
2026-05-11 15:36:46,6797,3764,2963
2026-05-11 15:36:46,6840,3812,2964
2026-05-11 15:36:47,6892,3846,2965
2026-05-11 15:36:47,6938,3932,2965
2026-05-11 15:36:48,7097,4057,2966
2026-05-11 15:36:48,7214,4192,2967
2026-05-11 15:36:48,7333,4313,2968
2026-05-11 15:36:49,7531,4517,2968
2026-05-11 15:36:49,7905,4903,2969
2026-05-11 15:36:50,8273,5260,2970
2026-05-11 15:36:50,8757,5743,2988
2026-05-11 15:36:51,9217,6185,3004
2026-05-11 15:36:51,9669,6638,3004
2026-05-11 15:36:52,10,6997,3005
2026-05-11 15:36:52,10,7334,3006
2026-05-11 15:36:53,11,7602,3007
2026-05-11 15:36:53,11,7870,3008
2026-05-11 15:36:54,11,7976,3008
2026-05-11 15:36:54,11,8405,3009
2026-05-11 15:36:55,12,8650,3010
2026-05-11 15:36:55,12,8876,3011
2026-05-11 15:36:56,12,9058,3011
2026-05-11 15:36:56,12,9074,3012
2026-05-11 15:36:57,12,9315,3013
2026-05-11 15:36:57,13,9458,3014
2026-05-11 15:36:58,13,9966,3014
2026-05-11 15:36:58,14,0,3015
2026-05-11 15:36:58,14,0,3024
2026-05-11 15:36:59,15,0,3026
2026-05-11 15:36:59,15,0,3021
2026-05-11 15:37:00,15,0,3041
2026-05-11 15:37:00,15,0,3042
2026-05-11 15:37:01,15,0,3047
2026-05-11 15:37:01,15,0,3053
2026-05-11 15:37:02,15,0,3045
2026-05-11 15:37:02,16,0,3118
2026-05-11 15:37:03,16,0,3119
2026-05-11 15:37:03,16,0,3110
2026-05-11 15:37:04,16,0,3122
2026-05-11 15:37:04,16,0,3123
2026-05-11 15:37:05,16,0,3115
2026-05-11 15:37:05,16,0,3115
2026-05-11 15:37:06,17,0,3112
2026-05-11 15:37:06,17,0,3118
