timestamp,total_mb,webkit_malloc_mb,graphics_mb
2026-05-11 15:32:59,4960,1704,2591
2026-05-11 15:32:59,4960,1704,2591
2026-05-11 15:33:00,4961,1704,2592
2026-05-11 15:33:00,4984,1707,2611
2026-05-11 15:33:00,5016,1729,2620
2026-05-11 15:33:01,5072,1775,2628
2026-05-11 15:33:01,5126,1814,2640
2026-05-11 15:33:02,5137,1819,2646
2026-05-11 15:33:02,5157,1834,2652
2026-05-11 15:33:02,5192,1852,2668
2026-05-11 15:33:03,5225,1875,2677
2026-05-11 15:33:03,5237,1883,2681
2026-05-11 15:33:04,5246,1897,2675
2026-05-11 15:33:04,5266,1910,2682
2026-05-11 15:33:04,5278,1925,2679
2026-05-11 15:33:05,5247,1938,2634
2026-05-11 15:33:05,5269,1947,2646
2026-05-11 15:33:06,5299,1968,2655
2026-05-11 15:33:06,5285,1968,2642
2026-05-11 15:33:06,5202,1885,2644
2026-05-11 15:33:07,5194,1867,2653
2026-05-11 15:33:07,5202,1868,2660
2026-05-11 15:33:08,5203,1870,2659
2026-05-11 15:33:08,5211,1871,2666
2026-05-11 15:33:08,5234,1879,2681
2026-05-11 15:33:09,5244,1887,2683
2026-05-11 15:33:09,5249,1895,2686
2026-05-11 15:33:10,5258,1908,2681
2026-05-11 15:33:10,5272,1920,2683
2026-05-11 15:33:10,5293,1925,2699
2026-05-11 15:33:11,5303,1936,2697
2026-05-11 15:33:11,5338,1976,2696
2026-05-11 15:33:12,5395,2035,2689
2026-05-11 15:33:12,5430,2064,2696
2026-05-11 15:33:12,5460,2072,2718
2026-05-11 15:33:13,5467,2085,2712
2026-05-11 15:33:13,5462,2093,2699
