timestamp,total_mb,webkit_malloc_mb,graphics_mb
2026-05-11 15:31:30,3587,1065,2507
2026-05-11 15:31:30,3577,1065,2497
2026-05-11 15:31:31,3577,1065,2497
2026-05-11 15:31:31,3664,1065,2582
2026-05-11 15:31:32,3670,1065,2588
2026-05-11 15:31:32,3662,1065,2580
2026-05-11 15:31:32,3661,1065,2579
2026-05-11 15:31:33,3659,1066,2577
2026-05-11 15:31:33,3659,1065,2577
2026-05-11 15:31:34,3659,1066,2576
2026-05-11 15:31:34,3669,1076,2577
2026-05-11 15:31:34,3688,1096,2576
2026-05-11 15:31:35,3690,1097,2576
2026-05-11 15:31:35,3698,1096,2586
2026-05-11 15:31:36,3706,1096,2593
2026-05-11 15:31:36,3715,1096,2602
2026-05-11 15:31:36,3740,1113,2611
2026-05-11 15:31:37,3781,1140,2624
2026-05-11 15:31:37,3814,1166,2630
2026-05-11 15:31:38,3850,1195,2637
2026-05-11 15:31:38,3884,1228,2638
2026-05-11 15:31:38,3907,1250,2637
2026-05-11 15:31:39,3912,1251,2641
2026-05-11 15:31:39,3911,1251,2640
2026-05-11 15:31:40,3911,1242,2648
2026-05-11 15:31:40,3908,1228,2659
2026-05-11 15:31:40,3904,1228,2655
2026-05-11 15:31:41,3908,1229,2659
2026-05-11 15:31:41,3936,1261,2656
2026-05-11 15:31:42,3941,1263,2658
2026-05-11 15:31:42,3950,1262,2668
2026-05-11 15:31:42,3945,1262,2662
2026-05-11 15:31:43,3934,1262,2651
2026-05-11 15:31:43,3918,1262,2636
2026-05-11 15:31:44,3891,1262,2609
2026-05-11 15:31:44,3886,1262,2604
2026-05-11 15:31:44,3869,1262,2586
