timestamp,total_mb,webkit_malloc_mb,graphics_mb
2026-05-13 17:40:24,3919,1107,2790
2026-05-13 17:40:25,3919,1107,2790
2026-05-13 17:40:25,3936,1107,2807
2026-05-13 17:40:25,3970,1107,2841
2026-05-13 17:40:26,3971,1107,2841
2026-05-13 17:40:26,3939,1107,2808
2026-05-13 17:40:27,3964,1114,2825
2026-05-13 17:40:27,3986,1136,2827
2026-05-13 17:40:27,4040,1189,2829
2026-05-13 17:40:28,4135,1245,2865
2026-05-13 17:40:28,4176,1301,2849
2026-05-13 17:40:29,4222,1360,2836
2026-05-13 17:40:29,4307,1421,2862
2026-05-13 17:40:30,4381,1480,2877
2026-05-13 17:40:30,4441,1517,2895
2026-05-13 17:40:30,4493,1538,2927
2026-05-13 17:40:31,4535,1561,2945
2026-05-13 17:40:31,4561,1580,2952
2026-05-13 17:40:31,4361,1385,2946
2026-05-13 17:40:32,4396,1392,2975
2026-05-13 17:40:32,4431,1420,2980
2026-05-13 17:40:33,4438,1433,2973
2026-05-13 17:40:33,4377,1475,2876
2026-05-13 17:40:33,4458,1527,2900
2026-05-13 17:40:34,4527,1525,2971
2026-05-13 17:40:34,4569,1539,2998
2026-05-13 17:40:35,4568,1485,3050
2026-05-13 17:40:35,4592,1492,3067
2026-05-13 17:40:35,4599,1502,3064
2026-05-13 17:40:36,4669,1531,3107
2026-05-13 17:40:36,4684,1581,3069
2026-05-13 17:40:37,4671,1599,3038
2026-05-13 17:40:37,4716,1572,3064
2026-05-13 17:40:37,4678,1572,3071
2026-05-13 17:40:38,4720,1579,3105
2026-05-13 17:40:38,4713,1580,3097
2026-05-13 17:40:39,4664,1580,3049
2026-05-13 17:40:39,4635,1580,3020
2026-05-13 17:40:39,4536,1580,2921
2026-05-13 17:40:40,4536,1580,2921
2026-05-13 17:40:40,4473,1580,2857
2026-05-13 17:40:41,4473,1580,2857
2026-05-13 17:40:41,4473,1580,2857
2026-05-13 17:40:41,4473,1580,2857
2026-05-13 17:40:42,4514,1580,2899
2026-05-13 17:40:42,4514,1580,2899
2026-05-13 17:40:43,4514,1580,2899
2026-05-13 17:40:43,4472,1580,2857
2026-05-13 17:40:43,4472,1580,2857
2026-05-13 17:40:44,4472,1580,2857
2026-05-13 17:40:44,4472,1580,2857
2026-05-13 17:40:45,4472,1580,2857
2026-05-13 17:40:45,4472,1580,2857
2026-05-13 17:40:45,4472,1580,2857
2026-05-13 17:40:46,4472,1580,2857
2026-05-13 17:40:46,4472,1580,2857
2026-05-13 17:40:47,4472,1580,2857
2026-05-13 17:40:47,4472,1580,2857
2026-05-13 17:40:47,4472,1580,2857
2026-05-13 17:40:48,4472,1580,2857
2026-05-13 17:40:48,4472,1580,2857
2026-05-13 17:40:49,4472,1580,2857
2026-05-13 17:40:49,4472,1580,2857
2026-05-13 17:40:49,4472,1580,2857
2026-05-13 17:40:50,4472,1580,2857
2026-05-13 17:40:50,4472,1580,2857
2026-05-13 17:40:51,4472,1580,2857
2026-05-13 17:40:51,4472,1580,2857
2026-05-13 17:40:51,4472,1580,2857
2026-05-13 17:40:52,4472,1580,2857
2026-05-13 17:40:52,4472,1580,2857
2026-05-13 17:40:53,4472,1580,2857
2026-05-13 17:40:53,4472,1580,2857
2026-05-13 17:40:53,4472,1580,2857
2026-05-13 17:40:54,4472,1580,2857
2026-05-13 17:40:54,4472,1580,2857
2026-05-13 17:40:55,4472,1580,2857
2026-05-13 17:40:55,4472,1580,2857
2026-05-13 17:40:55,4472,1580,2857
2026-05-13 17:40:56,4472,1580,2857
2026-05-13 17:40:56,4472,1580,2857
2026-05-13 17:40:56,4472,1580,2857
2026-05-13 17:40:57,4472,1580,2857
2026-05-13 17:40:57,4472,1580,2857
2026-05-13 17:40:58,4472,1580,2857
2026-05-13 17:40:58,4472,1580,2857
2026-05-13 17:40:58,4472,1580,2857
2026-05-13 17:40:59,4472,1580,2857
2026-05-13 17:40:59,4472,1580,2857
2026-05-13 17:41:00,4472,1580,2857
2026-05-13 17:41:00,4472,1580,2857
2026-05-13 17:41:00,4472,1580,2857
2026-05-13 17:41:01,4471,1579,2857
2026-05-13 17:41:01,4471,1579,2857
2026-05-13 17:41:02,4471,1579,2857
2026-05-13 17:41:02,4471,1579,2857
2026-05-13 17:41:02,4471,1579,2857
2026-05-13 17:41:03,4471,1579,2857
2026-05-13 17:41:03,4471,1579,2857
2026-05-13 17:41:04,4471,1579,2857
2026-05-13 17:41:04,4471,1579,2857
2026-05-13 17:41:04,4471,1579,2857
2026-05-13 17:41:05,4471,1579,2857
2026-05-13 17:41:05,4471,1579,2857
2026-05-13 17:41:06,4471,1579,2857
2026-05-13 17:41:06,4471,1579,2857
2026-05-13 17:41:06,4471,1579,2857
2026-05-13 17:41:07,4471,1578,2857
2026-05-13 17:41:07,4471,1578,2857
2026-05-13 17:41:08,4471,1578,2857
2026-05-13 17:41:08,4470,1578,2857
2026-05-13 17:41:08,4470,1578,2857
2026-05-13 17:41:09,4470,1578,2857
2026-05-13 17:41:09,4470,1578,2857
2026-05-13 17:41:10,4470,1578,2857
2026-05-13 17:41:10,4470,1578,2857
2026-05-13 17:41:10,4470,1578,2857
2026-05-13 17:41:11,4470,1578,2857
2026-05-13 17:41:11,4470,1578,2857
2026-05-13 17:41:12,4470,1578,2857
2026-05-13 17:41:12,4512,1578,2899
2026-05-13 17:41:12,4512,1578,2899
2026-05-13 17:41:13,4512,1578,2899
2026-05-13 17:41:13,4470,1578,2857
