timestamp,r21672_ws_mb,r21672_priv_mb,r9092_ws_mb,r9092_priv_mb,r17084_ws_mb,r17084_priv_mb,r16948_ws_mb,r16948_priv_mb,gpu_ws_mb,gpu_vram_mb
2026-05-12 14:19:09,103,53,101,32,0,0,29,16,172,326
2026-05-12 14:19:11,103,53,102,32,0,0,29,16,176,327
2026-05-12 14:19:12,103,53,104,33,0,0,117,76,183,296
2026-05-12 14:19:13,103,53,104,33,0,0,171,114,219,296
2026-05-12 14:19:15,103,53,104,33,0,0,176,118,221,302
2026-05-12 14:19:16,103,53,104,33,0,0,177,119,219,302
2026-05-12 14:19:17,103,53,105,34,0,0,168,109,219,301
2026-05-12 14:19:18,103,53,105,34,0,0,281,385,234,287
2026-05-12 14:19:20,103,53,105,34,0,0,5151,5748,237,967
2026-05-12 14:19:21,103,53,105,33,0,0,3438,3889,933,1449
2026-05-12 14:19:22,103,53,104,32,0,0,3004,3455,1104,1913
2026-05-12 14:19:24,103,53,104,32,0,0,3082,3564,1376,2403
2026-05-12 14:19:25,103,53,104,32,0,0,3226,3677,1596,3133
2026-05-12 14:19:26,103,53,104,32,0,0,3132,3583,1784,3656
2026-05-12 14:19:27,103,53,104,32,0,0,2906,3355,1806,3708
2026-05-12 14:19:29,103,53,104,32,0,0,2917,3365,1839,4372
2026-05-12 14:19:30,103,53,104,32,0,0,2965,3416,1906,4981
2026-05-12 14:19:31,103,53,104,32,0,0,3002,3453,1905,4981
2026-05-12 14:19:33,103,53,104,32,0,0,3021,3473,1917,4981
2026-05-12 14:19:34,103,53,104,32,0,0,3048,3500,1934,4982
2026-05-12 14:19:35,103,53,104,32,0,0,3065,3519,1959,5530
2026-05-12 14:19:37,103,53,104,32,0,0,3087,3540,2020,6138
2026-05-12 14:19:38,103,53,104,32,0,0,3125,3578,2081,6642
2026-05-12 14:19:39,103,53,104,32,0,0,3158,3603,2031,6642
2026-05-12 14:19:40,103,53,104,32,0,0,3174,3623,2023,6642
2026-05-12 14:19:42,103,53,104,32,0,0,3188,3636,2032,6676
2026-05-12 14:19:43,103,53,103,31,0,0,3197,3647,2071,6674
2026-05-12 14:19:44,103,53,103,31,0,0,3197,3647,2071,6670
2026-05-12 14:19:46,103,53,103,31,0,0,3187,3635,2068,6669
2026-05-12 14:19:47,103,53,103,31,0,0,3187,3635,2066,6664
2026-05-12 14:19:48,103,53,103,31,0,0,3187,3635,2065,6663
2026-05-12 14:19:49,103,53,103,31,0,0,3185,3633,2060,6636
2026-05-12 14:19:51,103,53,103,31,0,0,2966,3412,1981,6633
2026-05-12 14:19:52,103,53,103,31,0,0,2966,3412,1975,6633
2026-05-12 14:19:53,103,53,103,31,0,0,2947,3393,1969,6633
2026-05-12 14:19:55,103,53,103,31,0,0,2947,3393,1957,6633
2026-05-12 14:19:56,103,53,103,31,0,0,2947,3393,1951,6633
2026-05-12 14:19:57,103,53,103,31,0,0,2941,3387,1945,6633
2026-05-12 14:19:58,103,53,103,31,0,0,2941,3387,1933,6633
2026-05-12 14:20:00,103,53,103,31,0,0,2941,3387,1928,6633
2026-05-12 14:20:01,103,53,103,31,0,0,2941,3387,1928,6633
2026-05-12 14:20:02,103,53,103,31,0,0,2941,3387,1928,6633
2026-05-12 14:20:04,103,53,103,31,0,0,2941,3387,1928,6633
2026-05-12 14:20:05,103,53,103,31,0,0,2941,3387,1928,6633
2026-05-12 14:20:06,103,53,103,31,0,0,2938,3385,1928,6633
2026-05-12 14:20:07,103,53,103,31,0,0,2938,3386,1923,6633
2026-05-12 14:20:09,103,53,103,31,0,0,2938,3386,1923,6633
2026-05-12 14:20:10,103,53,103,31,0,0,2938,3385,1923,6633
2026-05-12 14:20:11,103,53,103,31,0,0,2938,3385,1920,6633
2026-05-12 14:20:13,103,53,103,31,0,0,2938,3385,1920,6633
2026-05-12 14:20:14,103,53,103,31,0,0,2938,3386,1920,6633
2026-05-12 14:20:15,103,53,103,31,0,0,2938,3385,1920,6633
2026-05-12 14:20:17,103,53,103,31,0,0,2938,3385,1920,6633
2026-05-12 14:20:18,103,53,103,31,0,0,2938,3385,1920,6633
2026-05-12 14:20:19,103,53,103,31,0,0,2938,3385,1920,6633
2026-05-12 14:20:20,103,53,103,31,0,0,2938,3385,1920,6633
2026-05-12 14:20:22,103,53,103,31,0,0,2938,3385,1920,6633
2026-05-12 14:20:23,103,53,103,31,0,0,2938,3385,1919,6633
2026-05-12 14:20:24,103,53,103,31,0,0,2938,3385,1919,6633
2026-05-12 14:20:26,103,53,103,31,0,0,2938,3385,1919,6633
2026-05-12 14:20:27,103,53,103,31,0,0,2938,3385,1919,6633
2026-05-12 14:20:28,103,53,103,31,0,0,2938,3385,1919,6633
2026-05-12 14:20:29,103,53,103,31,0,0,2938,3385,1919,6633
2026-05-12 14:20:31,103,53,103,31,0,0,2938,3385,1919,6633
2026-05-12 14:20:32,103,53,103,31,0,0,2938,3385,1919,6633
2026-05-12 14:20:33,103,53,103,31,0,0,2938,3385,1919,6633
2026-05-12 14:20:35,103,53,103,31,0,0,2938,3385,1918,6633
2026-05-12 14:20:36,103,53,103,31,0,0,2938,3385,1913,6633
2026-05-12 14:20:37,103,53,103,31,0,0,2938,3385,1907,6633
2026-05-12 14:20:38,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:40,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:41,103,53,103,31,0,0,2938,3386,1895,6633
2026-05-12 14:20:42,103,53,103,31,0,0,2938,3386,1895,6633
2026-05-12 14:20:44,103,53,103,31,0,0,2938,3386,1895,6633
2026-05-12 14:20:45,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:46,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:47,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:49,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:50,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:51,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:53,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:54,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:55,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:57,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:58,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:20:59,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:21:00,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:21:02,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:21:03,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:21:04,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:21:06,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:21:07,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:21:08,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:21:09,103,53,103,31,0,0,2938,3385,1895,6633
2026-05-12 14:21:11,103,53,103,31,0,0,2937,3384,1895,6633
2026-05-12 14:21:12,103,53,103,31,0,0,2937,3384,1895,6633
2026-05-12 14:21:13,103,53,103,31,0,0,2937,3384,1895,6633
2026-05-12 14:21:15,103,53,103,31,0,0,2937,3384,1895,6633
2026-05-12 14:21:16,103,53,103,31,0,0,2937,3384,1895,6633
2026-05-12 14:21:17,103,53,103,31,0,0,2937,3384,1895,6633
2026-05-12 14:21:18,103,53,103,31,0,0,2937,3384,1895,6663
2026-05-12 14:21:20,103,53,103,31,0,0,2939,3387,1898,6669
2026-05-12 14:21:21,103,53,103,31,0,0,2939,3387,1898,6669
2026-05-12 14:21:22,103,53,103,31,0,0,2939,3387,1898,6669
2026-05-12 14:21:24,103,53,103,31,0,0,2939,3387,1897,6669
2026-05-12 14:21:25,103,53,82,30,0,0,2939,3387,1897,6669
