Device	Family	Model	Variant	pp512_d0	pp512_d2048	tg128_d0	tg128_d2048
RTX 40-series	NVIDIA	LFM2.5-350M	Q4_K_M	3804.50	3532.11	108.94	104.36
RTX 40-series	NVIDIA	gemma-3-270m-it	Q4_K_M	564.00	266.36	98.05	96.85
RTX 40-series	NVIDIA	Qwen3-0.6B	Q4_K_M	193.99	42.27	102.81	86.90
RTX 40-series	NVIDIA	granite-4.0-h-1b	Q4_K_M	713.77	240.88	81.43	70.95
RTX 40-series	NVIDIA	Qwen3.5-2B	Q4_K_M	571.88	185.24	77.65	75.54
RTX 40-series	NVIDIA	SmolLM3-3B	Q4_K_M	158.11	32.26	72.94	62.89
RTX 40-series	NVIDIA	Ministral-3-3B-Instruct-2512	Q4_K_M	129.44	24.59	72.97	64.51
RTX 40-series	NVIDIA	gemma-4-E2B-it	Q4_K_M	65.10	37.16	30.01	29.11
RTX 40-series	NVIDIA	Llama-3.2-1B-Instruct	Q4_K_M	1336.45	1054.83	107.30	101.77
RTX 5070	NVIDIA	LFM2.5-350M	Q4_K_M	3752.88	3121.29	108.65	108.86
RTX 5070	NVIDIA	Bonsai-1.7B	Q1_0	174.48	39.88	90.03	78.88
RTX 5070	NVIDIA	gemma-3-270m-it	Q4_K_M	716.29	295.57	96.92	98.63
RTX 5070	NVIDIA	Qwen3-0.6B	Q4_K_M	251.68	42.14	94.56	86.16
RTX 5070	NVIDIA	granite-4.0-h-1b	Q4_K_M	620.38	272.28	78.52	79.00
RTX 5070	NVIDIA	Qwen3.5-2B	Q4_K_M	520.86	175.75	78.99	77.19
RTX 5070	NVIDIA	SmolLM3-3B	Q4_K_M	146.65	29.08	72.68	50.82
RTX 5070	NVIDIA	Ministral-3-3B-Instruct-2512	Q4_K_M	113.44	22.13	72.85	67.20
RTX 5070	NVIDIA	gemma-4-E2B-it	Q4_K_M	64.69	37.68	31.81	31.12
RTX 5070	NVIDIA	Llama-3.2-1B-Instruct	Q4_K_M	1168.59	908.59	109.16	107.01
RTX 5080	NVIDIA	LFM2.5-350M	Q4_K_M	5358.19	4916.79	133.93	143.90
RTX 5080	NVIDIA	Bonsai-1.7B	Q1_0	242.27	46.15	111.44	93.72
RTX 5080	NVIDIA	gemma-3-270m-it	Q4_K_M	715.50	312.60	116.37	114.47
RTX 5080	NVIDIA	Qwen3-0.6B	Q4_K_M	258.70	45.80	116.68	99.72
