Cluster	Phase	KV depth	Q2_K	Q4_K_M	Q8_0	F16
Cluster A	Prefill	0	910.73	1146.38	1236.38	1535.54
Cluster A	Prefill	2048	775.11	933.26	984.78	1241.20
Cluster A	Decode	0	77.89	96.91	95.20	79.45
Cluster A	Decode	2048	88.50	93.57	88.49	74.72
Cluster B	Prefill	0	114.64	185.84	237.32	290.37
Cluster B	Prefill	2048	88.04	123.81	148.46	169.89
Cluster B	Decode	0	30.07	36.20	33.40	21.90
Cluster B	Decode	2048	28.07	30.75	29.52	20.17
Cluster C	Prefill	0	37.70	49.34	50.36	43.44
Cluster C	Prefill	2048	27.25	53.36	53.73	43.59
Cluster C	Decode	0	4.46	4.48	4.25	1.54
Cluster C	Decode	2048	2.00	4.11	3.81	1.50
