Device	Family	Phase	KV depth	Q2_K	Q4_K_M	Q8_0	F16
RTX 40-series	NVIDIA	Prefill	0	896.15	1336.45	1300.14	1608.82
RTX 40-series	NVIDIA	Prefill	2048	771.10	1054.83	1040.11	1227.33
RTX 40-series	NVIDIA	Decode	0	110.74	107.30	99.05	77.06
RTX 40-series	NVIDIA	Decode	2048	96.90	101.77	93.72	74.41
RTX 5070	NVIDIA	Prefill	0	955.85	1168.59	1184.75	1131.52
RTX 5070	NVIDIA	Prefill	2048	785.74	908.59	918.92	989.84
RTX 5070	NVIDIA	Decode	0	108.00	109.16	107.99	95.36
RTX 5070	NVIDIA	Decode	2048	104.33	107.01	107.09	92.81
RTX 5080	NVIDIA	Prefill	0	1589.49	1888.47	1906.61	2384.77
RTX 5080	NVIDIA	Prefill	2048	1293.03	1492.40	1501.48	1776.92
RTX 5080	NVIDIA	Decode	0	36.43	133.99	133.73	107.93
RTX 5080	NVIDIA	Decode	2048	130.74	134.38	123.53	104.13
RX 7900 XT	AMD	Prefill	0	1119.71	1189.70	1267.24	2187.21
RX 7900 XT	AMD	Prefill	2048	1094.56	1156.85	1237.07	2126.14
RX 7900 XT	AMD	Decode	0	78.16	82.33	88.27	81.31
RX 7900 XT	AMD	Decode	2048	81.45	82.56	84.45	80.86
Arc B580	Intel	Prefill	0	518.38	686.00	932.58	902.31
Arc B580	Intel	Prefill	2048	379.89	513.35	614.52	646.73
Arc B580	Intel	Decode	0	38.67	39.38	39.01	39.34
Arc B580	Intel	Decode	2048	29.64	36.25	27.91	26.10
Iris Xe (iGPU)	Intel	Prefill	0	68.36	98.38	114.45	151.97
Iris Xe (iGPU)	Intel	Prefill	2048	53.14	76.05	87.47	97.99
Iris Xe (iGPU)	Intel	Decode	0	15.64	15.49	11.59	2.18
Iris Xe (iGPU)	Intel	Decode	2048	14.16	12.84	7.77	3.15
M-series (Safari)	Apple-Mac	Prefill	0	116.13	152.50	159.98	167.46
M-series (Safari)	Apple-Mac	Prefill	2048	104.56	133.40	139.09	148.12
M-series (Safari)	Apple-Mac	Decode	0	61.81	62.04	47.00	60.16
M-series (Safari)	Apple-Mac	Decode	2048	28.33	34.59	28.22	33.44
M2	Apple-Mac	Prefill	0	84.10	148.55	206.46	240.67
M2	Apple-Mac	Prefill	2048	71.68	108.42	142.42	166.72
M2	Apple-Mac	Decode	0	20.10	27.56	30.18	29.67
M2	Apple-Mac	Decode	2048	19.63	23.18	26.26	25.73
M3 (16 GB)	Apple-Mac	Prefill	0	191.47	310.60	391.04	478.48
M3 (16 GB)	Apple-Mac	Prefill	2048	139.29	186.96	215.48	244.97
M3 (16 GB)	Apple-Mac	Decode	0	54.48	65.55	58.43	33.85
M3 (16 GB)	Apple-Mac	Decode	2048	50.43	56.22	54.53	31.64
M4 (32 GB)	Apple-Mac	Prefill	0	384.80	609.05	826.93	998.59
M4 (32 GB)	Apple-Mac	Prefill	2048	326.32	473.55	596.57	680.27
M4 (32 GB)	Apple-Mac	Decode	0	95.32	109.32	103.15	75.68
M4 (32 GB)	Apple-Mac	Decode	2048	87.93	99.46	94.26	70.01
Adreno 7xx	Qualcomm	Prefill	0			1.34	
Adreno 7xx	Qualcomm	Prefill	2048			1.38	
Adreno 7xx	Qualcomm	Decode	0			1.36	
Adreno 7xx	Qualcomm	Decode	2048			0.99	
Snapdragon X Elite	Qualcomm	Prefill	0	27.27	39.17	42.47	43.44
Snapdragon X Elite	Qualcomm	Prefill	2048	27.25	39.53	42.63	43.59
Snapdragon X Elite	Qualcomm	Decode	0	2.01	2.02	1.61	1.54
Snapdragon X Elite	Qualcomm	Decode	2048	2.00	2.73	2.16	1.50
Galaxy S24	Samsung	Prefill	0	48.14	59.51	58.25	
Galaxy S24	Samsung	Prefill	2048		67.18	64.83	
Galaxy S24	Samsung	Decode	0	6.90	6.94	6.90	
Galaxy S24	Samsung	Decode	2048		5.48	5.45	
